Run,Runtime (s),F1 Score (bipartite contains rule),Precision,Recall,CPU Energy (J),GPU Energy (J),"CPU Power (avg, W)","GPU Power (avg, W)","GPU Power (max, W)","CPU RAM (avg, MB)","GPU VRAM (avg, MB)"
1,461.5111,0.9086,0.9565,0.8653,15523.3767,30366.6315,33.6360,65.7983,66.7460,10901.05,2222.51
2,461.5129,0.9086,0.9565,0.8653,15501.3931,30453.0052,33.5882,65.9852,66.8150,10872.59,2228.38
3,461.5061,0.9086,0.9565,0.8653,15479.3116,30391.8008,33.5409,65.8535,66.8690,10885.02,2228.38
4,461.5180,0.9086,0.9565,0.8653,15503.2139,30490.0480,33.5918,66.0647,66.9460,10901.15,2228.38
5,461.5340,0.9086,0.9565,0.8653,15511.9271,30551.1579,33.6095,66.1948,67.3160,10898.23,2228.38
6,463.4939,0.9086,0.9565,0.8653,15308.9195,30674.2650,33.0294,66.1805,67.0020,10894.35,2228.38
7,465.5110,0.9086,0.9565,0.8653,15312.1784,30846.5400,32.8933,66.2638,67.2940,10924.83,2228.38
8,463.5039,0.9086,0.9565,0.8653,15525.0585,30657.0103,33.4950,66.1419,67.2270,10950.24,2228.38
9,461.5180,0.9086,0.9565,0.8653,15494.9727,30514.5321,33.5739,66.1177,67.0530,10964.86,2228.38
10,461.5238,0.9086,0.9565,0.8653,15536.0283,30549.3877,33.6625,66.1924,67.1640,10966.52,2228.38
Average,462.3133,0.9086,0.9565,0.8653,15469.6380,30549.4379,33.4620,66.0793,67.0432,10915.88,2227.79
